sector,indicator,subcategory,subcategory2,subcategory3,aspectid,unit,explanation
Formal employment,Firms missing PF dues,Large,Manufacturing,Metal and ores,631246,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Engineering,631427,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Confectionary,632221,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Automobile,632414,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Brush,633217,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Confectionary,633221,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Rubber products,633258,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Wood,633267,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Chemical,633418,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Agro-processing,631212,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Tanning,631262,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Automobile,631414,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Insurance,631439,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,IT,631440,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Recreational Activties,631457,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Agro-processing,632212,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Bakery,632215,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Entertainment,632228,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Glass,632234,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Metal and ores,632246,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Mining,632248,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Plastics,632255,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Rubber products,632258,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Tanning,632262,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Delivery Services,632424,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Hospitality,632435,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Media,632444,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Plantation,632454,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Printing,632456,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Agarbatti,633211,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Bakery,633215,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Bone crushing,633216,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Glass,633234,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Tanning,633262,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Delivery Services,633424,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Media,633444,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Wood,633467,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Agriculture,Plantation,632154,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Starch,631260,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Mill,633247,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Paper products,631252,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Salt,633259,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Entertainment,633428,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Housekeeping Services,631436,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Painting,632251,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Financial Services,632431,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Recreational Activties,633257,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Tobacco products,632264,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Alcohol,633213,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Starch,633260,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Tobacco products,633264,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Gas,632233,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Clay/Ceramic products,632219,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Food Preservation,633232,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Farm and farming products,632230,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Entertainment,633228,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Insurance,633439,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Law,633441,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,Plantation,633454,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Chemical,631218,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Bone crushing,632216,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Food Preservation,632232,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Farm and farming products,633230,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Water,633266,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Alcohol,632213,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Icecream,633237,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Agriculture,Plantation,631154,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Construction,632222,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Tobacco products,631264,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Transport Services,631465,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Chemical,632418,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Entertainment,632428,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Gas,631233,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Chemical,631418,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,F&B,631429,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Hospitality,631435,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Petroleum/Natural Gas,632253,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Non edible oil/fat,632249,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Plantation,633254,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Mining,631248,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Rubber products,631258,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Agarbatti,632211,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Petroleum/Natural Gas,632453,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Wood,632467,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Stone Quarries,632261,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Medical,631445,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Matches,633243,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Linoleum and Indoleum,633242,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Matches,632243,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,Insurance,632439,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Icecream,632237,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Water,632266,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Education,631425,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Starch,632260,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Clay/Ceramic products,631219,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Plastics,631255,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Financial Services,631431,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Brush,631217,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Brush,632217,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Wood,631267,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Printing,631456,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Bakery,631215,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Glass,631234,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Stone Quarries,631261,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Delivery Services,631424,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Indigo,632238,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Water,631266,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Recreational Activties,632257,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,Indigo,633238,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Media,631444,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Others,Others,631350,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Petroleum/Natural Gas,631253,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Plantation,632254,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Confectionary,631221,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,Salt,632259,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Wood,631467,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Agarbatti,631211,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,Salt,631259,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,Entertainment,631428,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,All firms,All sectors,All sectors,630010,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,All sectors,All sectors,633010,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,All sectors,All sectors,632010,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,All sectors,All sectors,631010,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Others,All sectors,633310,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Services,All sectors,633410,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Others,All sectors,632310,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Manufacturing,All sectors,633210,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Services,All sectors,632410,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Services,All sectors,631410,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Trading,All sectors,633510,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Trading,All sectors,632510,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Trading,All sectors,631510,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Manufacturing,All sectors,631210,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Agriculture,All sectors,632110,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Medium,Manufacturing,All sectors,632210,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Small,Agriculture,All sectors,633110,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Agriculture,All sectors,631110,,"Firms registered with the EPFO, but missed on payments for given month"
Formal employment,Firms missing PF dues,Large,Others,All sectors,631310,,"Firms registered with the EPFO, but missed on payments for given month"
Fertiliser sales,POS sales,Compost,,,10110,Metric tonne,Fertiliser sales at POS
Fertiliser sales,POS sales,DAP,,,10120,Metric tonne,Fertiliser sales at POS
Fertiliser sales,POS sales,MOP,,,10130,Metric tonne,Fertiliser sales at POS
Fertiliser sales,POS sales,P&K,,,10140,Metric tonne,Fertiliser sales at POS
Fertiliser sales,POS sales,SSP,,,10150,Metric tonne,Fertiliser sales at POS
Fertiliser sales,POS sales,Urea,,,10160,Metric tonne,Fertiliser sales at POS
Fertiliser sales,POS sales,Total,,,10170,Metric tonne,Fertiliser sales at POS
Fertiliser sales,Retail sales,Compost,,,10210,Metric tonne,Retail sales of fertilisers
Fertiliser sales,Retail sales,DAP,,,10220,Metric tonne,Retail sales of fertilisers
Fertiliser sales,Retail sales,MOP,,,10230,Metric tonne,Retail sales of fertilisers
Fertiliser sales,Retail sales,P&K,,,10240,Metric tonne,Retail sales of fertilisers
Fertiliser sales,Retail sales,SSP,,,10250,Metric tonne,Retail sales of fertilisers
Fertiliser sales,Retail sales,Urea,,,10260,Metric tonne,Retail sales of fertilisers
Fertiliser sales,Retail sales,Total,,,10270,Metric tonne,Retail sales of fertilisers
Companies and Establishments,Companies under MCA,Number of companies Registered,Agriculture and Allied Activities,,901114,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,Business Services,,901117,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Agriculture and Allied Activities,,901514,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,Business Services,,901517,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Agriculture and Allied Activities,,901614,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,Business Services,,901617,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,"Community, personal & Social Services",,901119,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,Construction,,901121,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,"Electricity, Gas & Water companies",,901123,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,"Manufacturing (Paper & Paper products, Publishing, printingand reproduction of recorded media)",,901162,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,Manufacturing (Textiles),,901163,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,Trading,,901185,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,"Transport, storage and Communications",,901186,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,"Community, personal & Social Services",,901519,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,Construction,,901521,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,"Electricity, Gas & Water companies",,901523,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,"Manufacturing (Paper & Paper products, Publishing, printingand reproduction of recorded media)",,901562,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,Manufacturing (Textiles),,901563,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,Trading,,901585,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,"Transport, storage and Communications",,901586,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,"Community, personal & Social Services",,901619,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,Construction,,901621,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,"Electricity, Gas & Water companies",,901623,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,"Manufacturing (Paper & Paper products, Publishing, printingand reproduction of recorded media)",,901662,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,Manufacturing (Textiles),,901663,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,Trading,,901685,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,"Transport, storage and Communications",,901686,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Manufacturing (Machinery & Equipments),,901158,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Manufacturing (Machinery & Equipments),,901558,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Manufacturing (Machinery & Equipments),,901658,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Finance,,901126,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Finance,,901526,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Finance,,901626,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Manufacturing (Food stuffs),,901156,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,"Manufacturing (Metals & Chemicals, and products thereof)",,901159,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,Manufacturing (Others),,901160,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Number of companies Registered,Real Estate and Renting,,901175,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Manufacturing (Food stuffs),,901556,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,"Manufacturing (Metals & Chemicals, and products thereof)",,901559,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,Manufacturing (Others),,901560,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total paid-up capital,Real Estate and Renting,,901575,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Manufacturing (Food stuffs),,901656,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,"Manufacturing (Metals & Chemicals, and products thereof)",,901659,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,Manufacturing (Others),,901660,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Total share capital,Real Estate and Renting,,901675,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Mining & Quarrying,,901165,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Mining & Quarrying,,901565,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Mining & Quarrying,,901665,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Insurance,,901132,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Insurance,,901532,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Insurance,,901632,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Manufacturing (Leather & products thereof),,901157,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Manufacturing (Leather & products thereof),,901557,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Manufacturing (Leather & products thereof),,901657,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Manufacturing (Wood Products),,901164,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Manufacturing (Wood Products),,901564,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Manufacturing (Wood Products),,901664,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,Building of complete constructions or parts thereof; civil e,,901116,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,Building of complete constructions or parts thereof; civil e,,901516,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,Building of complete constructions or parts thereof; civil e,,901616,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Companies under MCA,Number of companies Registered,"Manufacturing (Paper & Paper products, Publishing, printing",,901161,,Total number of companies registered under the Ministry of Corporate Affairs in the given month
Companies and Establishments,Companies under MCA,Total paid-up capital,"Manufacturing (Paper & Paper products, Publishing, printing",,901561,Rs.,Total paid up capital of the companies registered under MCA
Companies and Establishments,Companies under MCA,Total share capital,"Manufacturing (Paper & Paper products, Publishing, printing",,901661,Rs.,Total share capital of the companies registered under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Trading,,902485,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Business Services,,902417,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Mining & Quarrying,,902465,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Manufacturing (Machinery & Equipments),,902458,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,"Community, personal & Social Services",,902419,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Construction,,902421,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,"Transport, storage and Communications",,902486,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,"Manufacturing (Paper & Paper products, Publishing, printing",,902461,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,"Manufacturing (Metals & Chemicals, and products thereof)",,902459,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Finance,,902426,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Real Estate and Renting,,902475,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Insurance,,902432,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Manufacturing (Textiles),,902463,,Total foreign companies registered in India under the MCA
Companies and Establishments,Foreign companies,Total foreign companies registered,Agriculture and Allied Activities,,902414,,Total foreign companies registered in India under the MCA
Companies and Establishments,LLPs,Number of LLPs Registered,Business Services,,903217,,Number of Limited Liability Partnership firms registered in the given month
Companies and Establishments,LLPs,Obligation of contribution,Business Services,,903317,Rs.,Obligation of contribution of the LLPs registered in the month
Companies and Establishments,LLPs,Number of LLPs Registered,Computer and related activities,,903220,,Number of Limited Liability Partnership firms registered in the given month
Companies and Establishments,LLPs,Obligation of contribution,Computer and related activities,,903320,Rs.,Obligation of contribution of the LLPs registered in the month
